video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=LOS8ENG-hsQ&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXPSBwkJhwoBhyohjO8%3D,/@LIVINGINGREATERSEATTLE,LIVING IN GREATER SEATTLE WASHINGTON,Seattle Real Estate News | Bellevue is More Expensive than Manhattan??,111,3 years,Seattle Real Estate News | Bellevue is More Expensive than Manhattan?? Home prices are higher in Bellevue than in Manhatten?,2026-01-21 23:17:13.701475
/shorts/POaeLNTcCj4,/@george_moorhead,George Moorhead,Bellevue September 2025 Housing Market,85,3 months,"Bellevue housing market update for September 2025. Prices go up, inventory changes, and sales trends show that it's a seller's ...",2026-01-21 23:17:13.703218
/watch?v=CgMOy6rk6uQ&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@CNBCtelevision,CNBC Television,CNBC Housing Market Survey: 44% of real estate agents say home prices are on the decline,78K,2 months,CNBC's Diana Olick joins 'Squawk Box' to break down the results of CNBC's Housing Market Survey.,2026-01-21 23:17:13.704498
/watch?v=bK6x6ohhJ3o&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,The Seattle Real Estate Market Has SHIFTED,3K,2 months,"In this video, I am giving you a breakdown on why this is the most buyer friendly market we've had since 2019. Thinking about ...",2026-01-21 23:17:13.705699
/watch?v=1PSF63m53OY&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@McDonaldResidential,Zach McDonald Seattle Real Estate,Bellevue Housing Prices Higher Than Manhattan Housing Prices!,682,3 years,Seattle Times published an article about the Bellevue & Manhattan real estate market. Bellevue housing prices recently ...,2026-01-21 23:17:13.707463
/watch?v=Vj0r0SAZp6Q&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@LivinginSeattlewithSean,Living in Seattle with Sean McConnell,The Seattle Housing Market Just SHIFTED (Here’s Why),39K,4 months,"Seattle's housing market just shifted dramatically. Homes that got 10 offers last year now get 2; days-on-market jumped 50%, and ...",2026-01-21 23:17:13.709286
/watch?v=0fbamL18OW4&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@TheOlegGroup,Seattle Real Estate- Living and Investing,Seattle Real Estate Market Update – December 2025 | Bellevue & Eastside Housing Trends,369,1 month,"Seattle Real Estate Market Update for December 2025: Covering Seattle Neighborhoods, Bellevue, and the Entire Eastside.",2026-01-21 23:17:13.710503
/watch?v=0un4kQaRGI4&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@BrandiceRaybournRealEstate,Brandice Raybourn Real Estate,👉 Bellevue Housing Market Update | August 2025,18,5 months,"Bellevue's housing market is moving at lightning speed this month. Homes here are still selling in just 6 days on average, and ...",2026-01-21 23:17:13.711662
/watch?v=mFA5dLsLS94&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@THEMADRONAGROUP,The Madrona Group | Puget Sound Real Estate,Seattle Housing Market December 2025  - The Great Housing Reset Explained,390,1 month,"In this December 2025 Seattle Housing Market Report, Jason Fox of The Madrona Group breaks down exactly what's happening ...",2026-01-21 23:17:13.712854
/watch?v=7s5W4AlKKe4&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@LauraSinclairHomes10,Laura Sinclair Homes ,How We Saved $70K in the Hot Housing Market of Bellevue | Market Update 2025,54,5 months,How We Saved $70K in the Hot Housing Market of Bellevue The Bellevue housing market 2025 is hotter than ever — home prices ...,2026-01-21 23:17:13.714058
/watch?v=qA370qEpMhQ&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@bylerrealestate1276,Byler Real Estate,"Bellevue WA Real Estate Market Update | December 2025 Housing Trends, Prices & Stats",8,1 month,"Are you curious about the current state of the Bellevue, Washington housing market as we head into December 2025?",2026-01-21 23:17:13.715494
/shorts/uJeQwXosAAI,/@McDonaldResidential,Zach McDonald Seattle Real Estate,Are Seattle & Bellevue Housing Prices Soaring? 🏡📈 #seattlerealestate #bellevuerealestate #realestate,333,9 months,"Seattle and Bellevue home prices are climbing! In this week's real estate market update, we dive into the latest data for King and ...",2026-01-21 23:17:13.716783
/watch?v=vIN6WhIJ6QE&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@bylerrealestate1276,Byler Real Estate,"Bellevue WA Real Estate Market Update October 2025 | Median Price Rises, $/Sq Ft Drops",30,3 months,"Welcome to your latest Bellevue, WA Real Estate Market Update for October 2025! In this video, Chris Byler reviews the finalized ...",2026-01-21 23:17:13.718046
/shorts/lTZqYIohNgM,/@SeattleWashingtonLifeAndLiving,Seattle Washington Life & Living,Bellevue to Newcastle: Eastside WA Home Prices in 2025 (May Market Update!),187,8 months,"What's REALLY happening in the Eastside Seattle housing market right now? I've got your full real estate update for May 2025, ...",2026-01-21 23:17:13.719291
/shorts/u3MIu30dz0c,/@MichaelBordenaro,Michael Bordenaro,Housing Market: The Truth About Rates & Home Prices,26K,3 months,"Are high mortgage rates really the biggest obstacle for homebuyers? This video challenges that notion, revealing why focusing ...",2026-01-21 23:17:13.720602
/shorts/5C91RlLjpdw,/@george_moorhead,George Moorhead,Bellevue Housing Market Trends & Stats,24,10 months,"Keep up to date on trends and statistics in the Bellevue housing market. Receive information on housing costs, availability, and ...",2026-01-21 23:17:13.721848
/shorts/nqu_L5cwy1c,/@george_moorhead,George Moorhead,Bellevue & Bothell Housing Market | Buyer Activity vs. Home Prices,39,1 year,"Rates have come down enough to boost buyer activity in the Bellevue and Bothell housing market, but not low enough to trigger a ...",2026-01-21 23:17:13.723044
/watch?v=jKQ48BUuqM8&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@ReventureConsulting,Reventure Consulting,Redfin reveals shocking truth about 2025 Housing Market (buyers gone),148K,Streamed 3 months,"Redfin just revealed a post-rate-cut downturn in home buyer demand, shocking everyone in the housing market. For the first time ...",2026-01-21 23:17:13.724296
/watch?v=Vf4SSEgO-Tw&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@HouseCrisis,House Crisis,10 Cities in Washington Where Home Prices WILL CRASH in 2026...,59K,2 months,"10 Cities in Washington Where Home Prices WILL CRASH in 2026... Welcome to House Crisis, today we go over: - Washington's ...",2026-01-21 23:17:13.725476
/shorts/mhZagornwnU,/@george_moorhead,George Moorhead,Bellevue August 2025 Housing Market Update,94,5 months,"Bellevue's housing market in August 2025 has higher prices, more homes for sale, and sales that are taking longer. Now, look at ...",2026-01-21 23:17:13.726728
/shorts/kG3FlmBp7yA,/@ryanmcghieseattle,Ryan McGhie Seattle,$30k could buy you a house in Bellevue?!,979,6 months,"In 1985, you could afford a Bellevue home making just $30K a year. In 2025? You'll need over $445000/year just to qualify for the ...",2026-01-21 23:17:21.843792
/shorts/IPCFfPUVd1U,/@george_moorhead,George Moorhead,Bellevue Housing Market Trends & Statistics | Stay Informed,235,8 months,"Bellevue Real Estate stays strong for sellers: 10 DOM, 101% sale-to-list in April 2025. See how this impacts your home's value ...",2026-01-21 23:17:21.845041
/shorts/GGZL74RR_6A,/@george_moorhead,George Moorhead,Pent-Up Demand in the Bellevue Housing Market: What It Means for Inventory,343,1 year,"The Bellevue housing market is seeing fewer homes coming on the market, but buyers remain highly motivated. Learn how ...",2026-01-21 23:17:21.846409
/shorts/WKmQLJuKdr8,/@TheOlegGroup,Seattle Real Estate- Living and Investing,Bellevue Housing Market Predictions for 2025 | December 2024 Update,33,1 year,"What's ahead for Bellevue's housing market in 2025? Will interest rates rise or fall, and how will it impact home prices?",2026-01-21 23:17:21.849726
/watch?v=GXNGAorPdus&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@KING5Seattle,KING 5 Seattle,New zoning law hopes to lower housing costs,7.1K,8 months,"""Upzoning"" hopes to lower housing costs in Seattle by adding more housing units onto a lot by building vertically.",2026-01-21 23:17:21.850848
