video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=BIQhYmEl96c&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@bylerrealestate1276,Byler Real Estate,Bellevue WA Real Estate Market Update: July 2025 Report on June Home Sales & Prices,53,6 months,"Welcome to the Bellevue real estate market update for July 2025, presented by local expert Chris Byler. In this video, we break ...",2026-01-21 23:17:21.851945
/watch?v=-S6a1QLrbMs&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXPSBwkJhwoBhyohjO8%3D,/@urban-living,Seattle & Bellevue Real Estate by Urban Living,Is Buying a Condo in Seattle a Bad Investment?,13K,6 months,Download Our FREE Relocation Guide Here!✓ https://bit.ly/ReloPDF ➡️ Our Seattle New Condo Guide: https://bit.ly/4hl8TzB ...,2026-01-21 23:17:21.853691
/watch?v=N9zRg7fiETM&t=20s&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXPSBwkJhwoBhyohjO8%3D,/@seattlesmortgagebroker2081,Seattle's Mortgage Broker,What Are the Current House Prices of Seattle Real Estate?,168,5 years,Contact Seattle's Mortgage Broker today for mortgage loans into the Seattle and Bellevue real estate market. Apply now: ...,2026-01-21 23:17:21.855362
/shorts/Dc8zJqNhZe4,/@george_moorhead,George Moorhead,Bellevue October 2025 Housing Market Trends,12,3 months,"Find out important changes in Bellevue's housing market for October 2025, such as sales, inventory, price trends, and more.",2026-01-21 23:17:21.856624
/watch?v=ISo7ZgulTWY&t=44s&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@matthewchapmanrealtor,Living in Seattle & Bellevue with Matthew Chapman ,Seattle Cost of Living 2025: Is it Worth It?,4.4K,1 year,"In this video, we're diving into the true cost of living in the city—from skyrocketing housing prices to the surprising affordability of ...",2026-01-21 23:17:21.858521
/watch?v=Ljwm7W4KRqM&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@matthewchapmanrealtor,Living in Seattle & Bellevue with Matthew Chapman ,"Is the Seattle Housing Market Shifting? | Prices, Rates & Inventory Update (August 2025)",486,5 months,Seattle Housing Market Update (August 2025) by Matthew Chapman Wondering what's really happening in Seattle's real estate ...,2026-01-21 23:17:21.860224
/shorts/Qo8Rv6L6mRg,/@george_moorhead,George Moorhead,Will Washington State Home Prices Drop?,423,1 year,Curious about the future of Bellevue and Bothell's housing market? Let's dive into the current mortgage rates in Washington State ...,2026-01-21 23:17:21.861422
/shorts/7vISDnhWazI,/@george_moorhead,George Moorhead,Bellevue Housing Market | Competitive Trends and Mortgage Rate Insights,38,1 year,Discover how the Bellevue housing market is shaping up for the end of 2024! With competitive numbers and fluctuating mortgage ...,2026-01-21 23:17:21.862738
/shorts/mo18aYZnLW4,/@bellachaffey,Bella Chaffey Seattle Real Estate,"$1.2 Million Dollar Condo in Downtown Bellevue, WA #realestate #luxurycondo #seattleluxuryhomes",16K,1 year,"Downtown Bellevue, Washington Next up on this condo series! We have another Downtown Bellevue condo but this one is a ...",2026-01-21 23:17:21.863903
/watch?v=uzMT1ZfF7sw&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@TheOlegGroup,Seattle Real Estate- Living and Investing,August 2025 Real Estate Market Update. Seattle & Bellevue Housing Trends,337,5 months,"Seattle's housing market is holding steady in a balanced range this summer, with 2.1 months of inventory in July 2025 — the ...",2026-01-21 23:17:21.865033
/watch?v=4CFEZW2qBmA&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@realestatemindset,Real Estate Mindset,ZILLOW: Something CRAZY is Happening in the Housing Market,81K,3 months,... CRAZY is Happening in the Housing Market Abolish Property Tax Facebook https://www.facebook.com/share/g/1ChS3KBejQ/ ...,2026-01-21 23:17:21.866637
/shorts/vz75ESb1bUg,/@vmhometeamwa,VM Home Team | WA Real Estate,The TRUE Cost of Living in Seattle REVEALED! #livinginseattle,7.6K,2 years,WATCH ENTIRE VIDEO HERE: https://youtu.be/WODkMsiXX1s ⭐️ BOOK A BUYER/SELLER CONSULTATION: ...,2026-01-21 23:17:21.867716
/watch?v=VJ3QAnjkkCk&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXPSBwkJhwoBhyohjO8%3D,/@ReventureReports,Reventure Housing Reports,"Seattle, WA Housing Market Forecast for 2025",26K,1 year,"Home prices in Seattle, WA are up +4.6% over the last year, however, this price growth could slow in 2025 due to a big spike in ...",2026-01-21 23:17:21.868837
/shorts/d6_29gZ5dKs,/@PaulandChristineNelson,Paul and Christine Nelson,Home Prices Experience Fluctuations in Bellevue as of August 2024,2,1 year,Contact me to discuss the latest scoop in real estate! #realestate #realtor #dreamhomes #homebuyers #realestateagent ...,2026-01-21 23:17:21.869996
/watch?v=BxBrydgTUKM&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@ReasonableNews,News For Reasonable People,Bellevue Home Sells For Nearly $1M Over Asking Price After 5 Days On The Market,2.6K,3 years,"We've heard that 2022 is going to be equally or more crazy than 2021 was when it comes to real estate in the Seattle metro area, ...",2026-01-21 23:17:29.415096
/watch?v=VE4M2tryIy8&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@THEMADRONAGROUP,The Madrona Group | Puget Sound Real Estate,Seattle July 2025 Housing Market Update – 2.6‑Month Supply,50K,6 months,Seattle Housing Market July 2025 Update from Jason Fox at The Madrona Group — your go‑to for real market insight. This month ...,2026-01-21 23:17:29.417352
/shorts/aQjIip6jkx8,/@TheOlegGroup,Seattle Real Estate- Living and Investing,Bellevue Home Values are Dropping Again,96,3 years,"In the news, Bellevue home values dropping again. With the rise of the sharing economy, Bellevue home values have been on a ...",2026-01-21 23:17:29.419142
/shorts/2U4Xc_nBXhs,/@TheOlegGroup,Seattle Real Estate- Living and Investing,"Bellevue, WA",24,2 years,Here are some key trends to watch in the Bellevue real estate market in September 2023: Home prices: Home prices in Bellevue ...,2026-01-21 23:17:29.420351
/watch?v=Ox65XAxKZos&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@bylerrealestate1276,Byler Real Estate,Bellevue WA April 2025 Real Estate Market Update | Homes Selling Over Asking!,91,9 months,"Bellevue WA Real Estate Market Report – April 2025 Welcome to your local market update for Bellevue, WA! In this video, Chris ...",2026-01-21 23:17:29.421854
/shorts/CUcHsFnq3Vc,/@Fmsmith319,Freddie Smith,The Housing Market Is NOT going to CRASH 🏡,1M,1 year,The housing market is not going to crash here's the reasons I don't think it's going to crash number one this is not 2008 people in ...,2026-01-21 23:17:29.423286
/watch?v=2m8-WJRmWbE&t=43s&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@JulianHomes,Julian Gonzalez - Seattle Real Estate Professional,Seattle Area Real Estate Market Update - December 2025,47,11 days,The December 2025 housing market closed out the year the same way it got started: more inventory and softening prices. Today ...,2026-01-21 23:17:29.425334
/watch?v=65ZohYhZs8c&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@brennen.clouse,Brennen Clouse | Seattle Real Estate,Home Prices Are FALLING FAST! | Seattle Housing Market Watch 10|17|2025,155,3 months,Here's The Market Watch Update this week. Here are my thoughts on the Seattle housing market this week! Got questions about ...,2026-01-21 23:17:29.427010
/shorts/h1r73qlpLW0,/@McDonaldResidential,Zach McDonald Seattle Real Estate,Bellevue Median Sales Price Drops More Than Seattle!,250,3 years,Higher interest rates continue to soften the real estate market in the Seattle/Bellevue area. Seattle and Bellevue experienced a ...,2026-01-21 23:17:29.428488
/shorts/kc7KeenZzrg,/@george_moorhead,George Moorhead,Mortgage Rates and Bellevue Housing: What’s Really Happening?,558,1 year,"How are Fed rate changes, CPI numbers, and employment data shaping mortgage rates and Bellevue's real estate market?",2026-01-21 23:17:29.430414
/shorts/KAYbAM2XoWQ,/@McDonaldResidential,Zach McDonald Seattle Real Estate,"How's the Housing Market in Bellevue, WA? # #realestate #realestatemarket",298,2 years,"In this Bellevue Real Estate Market Update, I share Bellevue housing market stats from last month and my thoughts on the ...",2026-01-21 23:17:29.431738
/watch?v=daH_G20EZHQ&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@AntonStetner,Anton Stetner,Seattle Metro Home Prices - Where Are Prices Going? December 2025 Real Estate Market Review,594,Streamed 1 month,We'll cover: Where home prices are headed this year Inventory levels and housing supply Interest rate effects on the Seattle ...,2026-01-21 23:17:29.434063
/shorts/Q1SbRv9IMeU,/@sitrucyar1958,Informed Tourist ,The Reality of Seattle's Housing Market #shorts,1.5K,8 months,Discover the shocking truth about Seattle's housing prices and why they might just make you question everything! Is it really worth ...,2026-01-21 23:17:29.435453
/shorts/yk7XA_wzov4,/@McDonaldResidential,Zach McDonald Seattle Real Estate,Seattle and Bellevue Home Prices Slip In December 2022,337,3 years,Higher interest rates continue to soften the real estate market in the Seattle/Bellevue area. Seattle and Bellevue experienced a ...,2026-01-21 23:17:29.437120
/shorts/2A4qAymZpxM,/@george_moorhead,George Moorhead,Issaquah WA August 2025 Housing Market,210,4 months,"Find out about Issaquah's housing market in August 2025, including trends in sold prices, list price ratios, and price changes.",2026-01-21 23:17:29.438575
/shorts/wghsA9CrL9s,/@TheOlegGroup,Seattle Real Estate- Living and Investing,🏡 Bellevue Real Estate Market Update – March 2025 | Buy or Wait? 📉📈,58,10 months,"Bellevue Real Estate Market Update – March 2025! Is now the right time to buy or sell in Bellevue, WA? Watch this quick ...",2026-01-21 23:17:29.439990
/watch?v=8_0oTQZ9sRQ&t=51s&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@JulianHomes,Julian Gonzalez - Seattle Real Estate Professional,Seattle Area Housing Market Update  - November 2025,60,1 month,... County Housing Market Update 1:25 Seattle Area Housing Market Update 1:56 Eastside Bellevue Housing Market Update 2:17 ...,2026-01-21 23:17:29.441726
/watch?v=TuSs5F-O5Gs&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@IgorKuznietsov,Igor Kuznietsov,West Bellevue Residential Housing Report for May 2023 | Igor Kuznietsov | Bellevue Real Estate,394,2 years,"Discover the latest insights on the West Bellevue housing market in May 2023. From median home prices to market trends, we've ...",2026-01-21 23:17:42.833961
/watch?v=qOvfExbW9CI&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@IgorKuznietsov,Igor Kuznietsov,West Bellevue Residential Housing Report for April 2023 | Igor Kuznietsov | Bellevue Real Estate,305,2 years,"Discover the latest insights on the West Bellevue housing market in April 2023. From median home prices to market trends, we've ...",2026-01-21 23:17:42.835069
/watch?v=sq6Ha16vhRY&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXPSBwkJhwoBhyohjO8%3D,/@TheOlegGroup,Seattle Real Estate- Living and Investing,Seattle & Bellevue Real Estate Market Update: February 2023,753,2 years,"In February 2023, Seattle and Bellevue, WA continue to be strong housing markets. With a population of 3.9 million, the ...",2026-01-21 23:17:42.836726
/shorts/w7kYEKIDvJQ,/@IgorKuznietsov,Igor Kuznietsov,West Bellevue Housing Market Update in 60 Seconds with Igor Kuznietsov.,27,2 years,"Stay informed about the West Bellevue market with Igor Kuznietsov in just 60 seconds! Discover trends, prices, and inventory ...",2026-01-21 23:17:42.841388
/watch?v=SihdDAifpBk&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@bylerrealestate1276,Byler Real Estate,"Bellevue WA Real Estate Market Update May 2025 | Prices Climb, Homes Selling Fast!",48,8 months,Bellevue WA Real Estate Market Report – May 2025 Welcome to your monthly market update with local expert Chris Byler.,2026-01-21 23:17:42.842561
/shorts/_Lq7KOGDFfk,/@george_moorhead,George Moorhead,"Kirkland, WA August 2025 Housing Market",189,5 months,"In Kirkland's housing market in August 2025, there are more homes for sale, prices are stable, and pending sales are solid, even ...",2026-01-21 23:17:42.843738
/watch?v=mr8zvla1aoU&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@maggiesun-seattlerealtor,Maggie Sun | Seattle Real Estate,Seattle Home Prices Are Finally Falling – Here's How Much!,461,7 months,"If you've been waiting for a shift in Seattle's crazy housing market— this is it.” Over the past few years, we've seen bidding wars, ...",2026-01-21 23:17:42.845265
/shorts/OtE5lGgraTo,/@LivinginWesternWashington425,Living in Western Washington,Buying a new home in Seattle| Seattle Home Prices | #seattlerealestate  #realestate #home,1.1K,1 year,Bottom line in Real Estate is: What is it going to cost you. Windermere Agent Mike Ferreri takes you through a new construction ...,2026-01-21 23:17:42.846452
/watch?v=k787TN7-bWU&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@HousingHenry,Housing Henry,These 15 U.S. Cities Entering DEPRESSION as Home Prices CRASH in 2026,16,9 hours,These 15 U.S. Cities Entering DEPRESSION as Home Prices CRASH in 2026.,2026-01-21 23:17:42.848826
/watch?v=fHZlKFjl-X4&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@TheOlegGroup,Seattle Real Estate- Living and Investing,Seattle & Bellevue Real Estate Market Update | June 2025 Housing Trends,245,7 months,Seattle and Bellevue Real Estate Market Update – June 2025 Discover how the Seattle and Bellevue housing markets are ...,2026-01-21 23:17:42.850120
/watch?v=fzI1e-vXybQ&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@DavidKowalLenderRealtorNinja,David Kowal Lender & Realtor Professional,🚨 Kirkland Housing Shock! 5 Market Trends You MUST Know Now!,30,5 months,"Start your home journey today — guides, checklists & resources: https://linktr.ee/keyswithkowal Kirkland Real Estate Market ...",2026-01-21 23:17:42.853368
/shorts/obzwWMM4QAs,/@MikeRudneveXpRealty,Mike Rudnev eXp Realty,Spring Surge: Seattle Home Prices on the Rise!,5,1 year,Tacoma #Bellevue #realestateseattle #seattlerealestate #washingtonhomes #seattlestaging #seattlehomedesign #seattlerealtors ...,2026-01-21 23:17:42.854596
/shorts/D7oR7Rgfo_c,/@DupuisTeam,Dupuis Team,"Kitsap House Prices Drop More, Homes Sell Below List Price #shorts",124,3 years,"For the first itme in years, Kitsa house prices drop and sales show that buyers are able to purchase homes on average below list ...",2026-01-21 23:17:42.856141
/watch?v=LkbiX46KkIA&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@sarahbreck_realestate,Boise Homes with Sarah Breck | Buy • Sell • Thrive,Idaho Housing Market Update: Prices Dropping as Fed Pauses Rate Hikes | January 2026,2,5 minutes,"What's actually happening with interest rates, prices, and growth heading into 2026? In this market update, I break down what ...",2026-01-21 23:17:42.857369
/watch?v=jR2GHnjV1Lw&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@IgorPechkovskyi,Real Estate Investing - Seattle Housing Market,"Bellevue & Seattle Housing Market Update, October 2021 | Real Estate Broker, Igor Pechkovskyi",369,4 years,"The median home price in Seattle and Bellevue, increasing conventional loan limits, higher interest rates, check out all this news.",2026-01-21 23:17:42.861383
/watch?v=zXdbSVr2YTg&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@felicialuo,Felicia Luo,"Housing Prices in Bellevue, WA",31,6 years,A demonstration of how to visualize web data in R language. The data visualization and code are developed by Felicia Luo and ...,2026-01-21 23:17:42.862471
/watch?v=3NYfqqLPmo8&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXM%3D,/@DanEdwardsRealEstateBellevue,"Dan Edwards, Real Estate Bellevue - KW CPRE","Bellevue, WA Real Estate Market Weekly Update",1 view,Streamed 3 months,"What's happening in Bellevue's housing market this week? In this update, I break down the latest numbers and trends shaping the ...",2026-01-21 23:17:42.863583
/shorts/liyVErAnXxA,/@CascadiaBrokers,Cascadia Brokers,Bellevue Washington Real Estate Market Review For August 2024,282,1 year,Bellevue Washington Real Estate Market Review For August 2024 Contact Information: Bogdan Apopei Managing Broker of ...,2026-01-21 23:17:42.864774
/watch?v=rMLqPNEvGjA&pp=ygUXYmVsbGV2dWUgaG91c2luZyBwcmljZXPSBwkJhwoBhyohjO8%3D,/@IgorPechkovskyi,Real Estate Investing - Seattle Housing Market,"Bellevue & Seattle Real Estate Market Update, November - December 2021 | Bellevue Real Estate Agent",360,4 years,"The median home price in Bellevue, Seattle and on the Eastside, increasing conventional loan limits, real estate trends and recap ...",2026-01-21 23:17:42.866413
